starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 05 21:20:58 2021	1625516458	0	1200	1201	1200
Mon Jul 05 21:20:59 2021	1625516459	0	1200	1201	1200
Mon Jul 05 21:20:45 2021	1625516445	0	1201	1201	1200
Mon Jul 05 21:20:59 2021	1625516459	0	1201	1201	1200
Mon Jul 05 21:21:09 2021	1625516469	0	1201	1201	1200
Mon Jul 05 21:21:01 2021	1625516461	0	1201	1201	1201
Mon Jul 05 21:20:59 2021	1625516459	0	1201	1201	1201
Mon Jul 05 21:21:09 2021	1625516469	0	1202	1202	1201
Mon Jul 05 21:20:58 2021	1625516458	0	1202	1202	1202
Mon Jul 05 21:20:55 2021	1625516455	0	1203	1203	1202
Mon Jul 05 21:20:59 2021	1625516459	0	1203	1203	1202
Mon Jul 05 21:20:49 2021	1625516449	0	1203	1203	1202
Mon Jul 05 21:20:48 2021	1625516448	0	1203	1203	1202
Mon Jul 05 21:20:54 2021	1625516454	0	1203	1203	1203
Mon Jul 05 21:20:52 2021	1625516452	0	1203	1203	1202
Mon Jul 05 21:20:58 2021	1625516458	0	1204	1204	1203
Mon Jul 05 21:21:02 2021	1625516462	0	1204	1204	1203
Mon Jul 05 21:20:57 2021	1625516457	0	1204	1204	1204
Mon Jul 05 21:20:54 2021	1625516454	0	1204	1204	1203
Mon Jul 05 21:20:54 2021	1625516454	0	1204	1205	1204
Mon Jul 05 21:20:55 2021	1625516455	0	1206	1206	1205
Mon Jul 05 21:20:58 2021	1625516458	0	1206	1206	1205
Mon Jul 05 21:20:45 2021	1625516445	0	1206	1206	1205
Mon Jul 05 21:20:47 2021	1625516447	0	1206	1206	1206
Mon Jul 05 21:20:56 2021	1625516456	0	1208	1208	1207
Mon Jul 05 21:21:01 2021	1625516461	0	1208	1208	1207
Mon Jul 05 21:20:50 2021	1625516450	0	1209	1209	1208
Mon Jul 05 21:20:55 2021	1625516455	0	1209	1209	1209
Mon Jul 05 21:20:48 2021	1625516448	0	1210	1210	1209
Mon Jul 05 21:21:02 2021	1625516462	0	1210	1210	1209
Mon Jul 05 21:20:48 2021	1625516448	0	1210	1210	1209
